round,indicator,group,subgroup,sample_size,response,percent,standard_error,suppression,significant_1,significant_2
1,Scheduled one or more telemedicine appointments,Sex,Female,,No,18.5,1,,,
1,Scheduled one or more telemedicine appointments,Sex,Female,,No telemedicine available,55.1,1.1,,,
1,Scheduled one or more telemedicine appointments,Education,High school graduate or less,1277,Total,100,,,,
1,Scheduled one or more telemedicine appointments,Education,High school graduate or less,,Yes,23.1,1.4,,,
1,Scheduled one or more telemedicine appointments,Education,High school graduate or less,,No,16.3,1.6,,,
1,Scheduled one or more telemedicine appointments,Education,High school graduate or less,,No telemedicine available,60.5,1.5,,,
1,Scheduled one or more telemedicine appointments,Education,Some college,2544,Total,100,,,,
1,Scheduled one or more telemedicine appointments,Education,Some college,,Yes,24.2,1.1,,,
1,Scheduled one or more telemedicine appointments,Education,Some college,,No,16.3,0.8,,,
1,Scheduled one or more telemedicine appointments,Education,Some college,,No telemedicine available,59.5,1.5,,,
1,Scheduled one or more telemedicine appointments,Education,Bachelor's degree or above,2937,Total,100,,,,
1,Scheduled one or more telemedicine appointments,Education,Bachelor's degree or above,,Yes,25.5,1.1,,,
1,Scheduled one or more telemedicine appointments,Education,Bachelor's degree or above,,No,19.3,0.8,,,
1,Scheduled one or more telemedicine appointments,Education,Bachelor's degree or above,,No telemedicine available,55.3,1,,,
1,Scheduled one or more telemedicine appointments,Urbanization,Metropolitan,6025,Total,100,,,,
1,Scheduled one or more telemedicine appointments,Urbanization,Metropolitan,,Yes,24.4,0.9,,,
1,Scheduled one or more telemedicine appointments,Urbanization,Metropolitan,,No,17.3,0.7,,,
1,Scheduled one or more telemedicine appointments,Urbanization,Metropolitan,,No telemedicine available,58.3,0.8,,,
1,Scheduled one or more telemedicine appointments,Urbanization,Non-Metropolitan,733,Total,100,,,,
1,Scheduled one or more telemedicine appointments,Urbanization,Non-Metropolitan,,Yes,22.6,1.4,,,
1,Scheduled one or more telemedicine appointments,Urbanization,Non-Metropolitan,,No,17.8,2.1,,,
1,Scheduled one or more telemedicine appointments,Urbanization,Non-Metropolitan,,No telemedicine available,59.6,2.5,,,
1,Scheduled one or more telemedicine appointments,Chronic conditions,One or more chronic conditions,4068,Total,100,,,,
1,Scheduled one or more telemedicine appointments,Chronic conditions,One or more chronic conditions,,Yes,31.6,1.1,,,
1,Scheduled one or more telemedicine appointments,Chronic conditions,One or more chronic conditions,,No,17.5,0.8,,,
1,Scheduled one or more telemedicine appointments,Chronic conditions,One or more chronic conditions,,No telemedicine available,50.9,1.2,,,
1,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed diabetes,765,Total,100,,,,
1,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed diabetes,,Yes,44.4,2.9,,,
1,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed diabetes,,No,14.4,1.7,,,
1,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed diabetes,,No telemedicine available,41.2,2.9,,,
1,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed hypertension,2416,Total,100,,,,
1,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed hypertension,,Yes,32.9,1.4,,,
1,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed hypertension,,No,16.3,1,,,
1,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed hypertension,,No telemedicine available,50.8,1.6,,,
1,Scheduled one or more telemedicine appointments,Chronic conditions,Current asthma,691,Total,100,,,,
1,Scheduled one or more telemedicine appointments,Chronic conditions,Current asthma,,Yes,36.9,2.4,,,
1,Scheduled one or more telemedicine appointments,Chronic conditions,Current asthma,,No,14.5,1.8,,,
1,Scheduled one or more telemedicine appointments,Chronic conditions,Current asthma,,No telemedicine available,48.6,2.4,,,
2,Scheduled one or more telemedicine appointments,Total,Total,5949,Total,100,,,,
2,Scheduled one or more telemedicine appointments,Total,Total,,Yes,24.3,0.7,,0,
2,Scheduled one or more telemedicine appointments,Total,Total,,No,17.9,0.7,,0,
2,Scheduled one or more telemedicine appointments,Total,Total,,No telemedicine available,57.8,0.8,,0,
2,Scheduled one or more telemedicine appointments,Age group,18-44 years,2193,Total,100,,,,
2,Scheduled one or more telemedicine appointments,Age group,18-44 years,,Yes,20.8,0.9,,0,
2,Scheduled one or more telemedicine appointments,Age group,18-44 years,,No,17.2,1.3,,0,
2,Scheduled one or more telemedicine appointments,Age group,18-44 years,,No telemedicine available,62,1.2,,0,
2,Scheduled one or more telemedicine appointments,Age group,45-64 years,2080,Total,100,,,,
2,Scheduled one or more telemedicine appointments,Age group,45-64 years,,Yes,25.9,1.1,,0,
2,Scheduled one or more telemedicine appointments,Age group,45-64 years,,No,19,1,,0,
2,Scheduled one or more telemedicine appointments,Age group,45-64 years,,No telemedicine available,55.2,1.4,,0,
2,Scheduled one or more telemedicine appointments,Age group,65 years and over,1676,Total,100,,,,
2,Scheduled one or more telemedicine appointments,Age group,65 years and over,,Yes,29.5,1.4,,0,
2,Scheduled one or more telemedicine appointments,Age group,65 years and over,,No,17.6,1.2,,0,
2,Scheduled one or more telemedicine appointments,Age group,65 years and over,,No telemedicine available,52.9,1.6,,0,
2,Scheduled one or more telemedicine appointments,Race/Hispanic origin,White non-Hispanic,4064,Total,100,,,,
2,Scheduled one or more telemedicine appointments,Race/Hispanic origin,White non-Hispanic,,Yes,24.2,1,,0,
2,Scheduled one or more telemedicine appointments,Race/Hispanic origin,White non-Hispanic,,No,18.2,0.9,,0,
2,Scheduled one or more telemedicine appointments,Race/Hispanic origin,White non-Hispanic,,No telemedicine available,57.6,1.3,,0,
2,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Black non-Hispanic,685,Total,100,,,,
2,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Black non-Hispanic,,Yes,28.9,1.8,,0,
2,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Black non-Hispanic,,No,14,1.6,,0,
2,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Black non-Hispanic,,No telemedicine available,57.1,1.8,,0,
2,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Other non-Hispanic,459,Total,100,,,,
2,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Other non-Hispanic,,Yes,22.6,2.6,,0,
2,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Other non-Hispanic,,No,19.4,2.6,,0,
2,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Other non-Hispanic,,No telemedicine available,58,3.8,,0,
2,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Hispanic,741,Total,100,,,,
2,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Hispanic,,Yes,21.9,2.5,,0,
2,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Hispanic,,No,18.9,1.9,,0,
2,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Hispanic,,No telemedicine available,59.2,3,,0,
2,Scheduled one or more telemedicine appointments,Sex,Male,2578,Total,100,,,,
2,Scheduled one or more telemedicine appointments,Sex,Male,,Yes,20.4,0.8,,0,
2,Scheduled one or more telemedicine appointments,Sex,Male,,No,18.4,1,,1,
2,Scheduled one or more telemedicine appointments,Sex,Male,,No telemedicine available,61.2,1,,0,
2,Scheduled one or more telemedicine appointments,Sex,Female,3371,Total,100,,,,
2,Scheduled one or more telemedicine appointments,Sex,Female,,Yes,27.9,0.9,,0,
2,Scheduled one or more telemedicine appointments,Sex,Female,,No,17.4,1,,0,
2,Scheduled one or more telemedicine appointments,Sex,Female,,No telemedicine available,54.7,0.9,,0,
2,Scheduled one or more telemedicine appointments,Education,High school graduate or less,1094,Total,100,,,,
2,Scheduled one or more telemedicine appointments,Education,High school graduate or less,,Yes,21.9,1.5,,0,
2,Scheduled one or more telemedicine appointments,Education,High school graduate or less,,No,15.9,1.3,,0,
2,Scheduled one or more telemedicine appointments,Education,High school graduate or less,,No telemedicine available,62.2,1.7,,0,
2,Scheduled one or more telemedicine appointments,Education,Some college,2213,Total,100,,,,
2,Scheduled one or more telemedicine appointments,Education,Some college,,Yes,25.8,1.1,,0,
2,Scheduled one or more telemedicine appointments,Education,Some college,,No,16.4,0.9,,0,
2,Scheduled one or more telemedicine appointments,Education,Some college,,No telemedicine available,57.8,1.1,,0,
2,Scheduled one or more telemedicine appointments,Education,Bachelor's degree or above,2642,Total,100,,,,
2,Scheduled one or more telemedicine appointments,Education,Bachelor's degree or above,,Yes,25.5,1,,0,
2,Scheduled one or more telemedicine appointments,Education,Bachelor's degree or above,,No,21.3,0.9,,1,
2,Scheduled one or more telemedicine appointments,Education,Bachelor's degree or above,,No telemedicine available,53.1,1.3,,0,
2,Scheduled one or more telemedicine appointments,Urbanization,Metropolitan,5292,Total,100,,,,
2,Scheduled one or more telemedicine appointments,Urbanization,Metropolitan,,Yes,25,0.7,,0,
2,Scheduled one or more telemedicine appointments,Urbanization,Metropolitan,,No,18.1,0.8,,0,
2,Scheduled one or more telemedicine appointments,Urbanization,Metropolitan,,No telemedicine available,56.9,0.8,,0,
2,Scheduled one or more telemedicine appointments,Urbanization,Non-Metropolitan,657,Total,100,,,,
2,Scheduled one or more telemedicine appointments,Urbanization,Non-Metropolitan,,Yes,18.7,2.1,,1,
2,Scheduled one or more telemedicine appointments,Urbanization,Non-Metropolitan,,No,16.5,1.8,,0,
2,Scheduled one or more telemedicine appointments,Urbanization,Non-Metropolitan,,No telemedicine available,64.8,3,,0,
2,Scheduled one or more telemedicine appointments,Chronic conditions,One or more chronic conditions,3638,Total,100,,,,
2,Scheduled one or more telemedicine appointments,Chronic conditions,One or more chronic conditions,,Yes,30.1,1,,0,
2,Scheduled one or more telemedicine appointments,Chronic conditions,One or more chronic conditions,,No,17.8,0.9,,0,
2,Scheduled one or more telemedicine appointments,Chronic conditions,One or more chronic conditions,,No telemedicine available,52.1,1,,0,
2,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed diabetes,687,Total,100,,,,
2,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed diabetes,,Yes,41.6,3.1,,0,
2,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed diabetes,,No,15.7,2,,0,
2,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed diabetes,,No telemedicine available,42.7,3,,0,
2,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed hypertension,2186,Total,100,,,,
2,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed hypertension,,Yes,32.7,1.4,,0,
2,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed hypertension,,No,17.4,1.1,,0,
2,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed hypertension,,No telemedicine available,49.9,1.6,,0,
2,Scheduled one or more telemedicine appointments,Chronic conditions,Current asthma,614,Total,100,,,,
2,Scheduled one or more telemedicine appointments,Chronic conditions,Current asthma,,Yes,32.4,2.4,,0,
2,Scheduled one or more telemedicine appointments,Chronic conditions,Current asthma,,No,14.8,2.2,,0,
2,Scheduled one or more telemedicine appointments,Chronic conditions,Current asthma,,No telemedicine available,52.7,2.4,,0,
3,Scheduled one or more telemedicine appointments,Total,Total,2651,Total,100,,,,
3,Scheduled one or more telemedicine appointments,Total,Total,,Yes,17.3,1.1,,1,1
3,Scheduled one or more telemedicine appointments,Total,Total,,No,15.4,1.1,,0,1
3,Scheduled one or more telemedicine appointments,Total,Total,,No telemedicine available,67.2,1.2,,1,1
3,Scheduled one or more telemedicine appointments,Age group,18-44 years,948,Total,100,,,,
3,Scheduled one or more telemedicine appointments,Age group,18-44 years,,Yes,17.3,1.6,,0,0
3,Scheduled one or more telemedicine appointments,Age group,18-44 years,,No,11.6,1.6,,1,1
3,Scheduled one or more telemedicine appointments,Age group,18-44 years,,No telemedicine available,71.1,1.9,,1,1
3,Scheduled one or more telemedicine appointments,Age group,45-64 years,872,Total,100,,,,
3,Scheduled one or more telemedicine appointments,Age group,45-64 years,,Yes,16.1,1.7,,1,1
3,Scheduled one or more telemedicine appointments,Age group,45-64 years,,No,19,1.9,,0,0
3,Scheduled one or more telemedicine appointments,Age group,45-64 years,,No telemedicine available,65,2.1,,1,1
3,Scheduled one or more telemedicine appointments,Age group,65 years and over,831,Total,100,,,,
3,Scheduled one or more telemedicine appointments,Age group,65 years and over,,Yes,19.5,1.8,,1,1
3,Scheduled one or more telemedicine appointments,Age group,65 years and over,,No,17.8,1.7,,0,0
3,Scheduled one or more telemedicine appointments,Age group,65 years and over,,No telemedicine available,62.7,2.1,,1,1
3,Scheduled one or more telemedicine appointments,Race/Hispanic origin,White non-Hispanic,1717,Total,100,,,,
3,Scheduled one or more telemedicine appointments,Race/Hispanic origin,White non-Hispanic,,Yes,17,1.3,,1,1
3,Scheduled one or more telemedicine appointments,Race/Hispanic origin,White non-Hispanic,,No,16,1.2,,0,0
3,Scheduled one or more telemedicine appointments,Race/Hispanic origin,White non-Hispanic,,No telemedicine available,67,1.5,,1,1
3,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Black non-Hispanic,394,Total,100,,,,
3,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Black non-Hispanic,,Yes,21.7,3.7,,0,0
3,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Black non-Hispanic,,No,13.6,2,,0,0
3,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Black non-Hispanic,,No telemedicine available,64.6,3.4,,0,1
3,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Other non-Hispanic,170,Total,100,,,,
3,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Other non-Hispanic,,Yes,13.4,2.5,,1,1
3,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Other non-Hispanic,,No,11.4,3.4,,1,0
3,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Other non-Hispanic,,No telemedicine available,75.3,3.5,,1,1
3,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Hispanic,370,Total,100,,,,
3,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Hispanic,,Yes,17,2.3,,0,0
3,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Hispanic,,No,16.4,2.8,,0,0
3,Scheduled one or more telemedicine appointments,Race/Hispanic origin,Hispanic,,No telemedicine available,66.7,2.9,,0,0
3,Scheduled one or more telemedicine appointments,Sex,Male,1178,Total,100,,,,
3,Scheduled one or more telemedicine appointments,Sex,Male,,Yes,16.5,1.4,,1,1
3,Scheduled one or more telemedicine appointments,Sex,Male,,No,14.8,1.6,,0,0
3,Scheduled one or more telemedicine appointments,Sex,Male,,No telemedicine available,68.7,1.8,,1,1
3,Scheduled one or more telemedicine appointments,Sex,Female,1473,Total,100,,,,
3,Scheduled one or more telemedicine appointments,Sex,Female,,Yes,18.1,1.3,,1,1
3,Scheduled one or more telemedicine appointments,Sex,Female,,No,16,1.4,,0,0
3,Scheduled one or more telemedicine appointments,Sex,Female,,No telemedicine available,66,1.6,,1,1
3,Scheduled one or more telemedicine appointments,Education,High school graduate or less,612,Total,100,,,,
3,Scheduled one or more telemedicine appointments,Education,High school graduate or less,,Yes,14.8,2.1,,1,1
3,Scheduled one or more telemedicine appointments,Education,High school graduate or less,,No,15,1.8,,0,0
3,Scheduled one or more telemedicine appointments,Education,High school graduate or less,,No telemedicine available,70.1,2.6,,1,1
3,Scheduled one or more telemedicine appointments,Education,Some college,1270,Total,100,,,,
3,Scheduled one or more telemedicine appointments,Education,Some college,,Yes,19.6,1.4,,1,1
3,Scheduled one or more telemedicine appointments,Education,Some college,,No,15.4,1.3,,0,0
3,Scheduled one or more telemedicine appointments,Education,Some college,,No telemedicine available,65,1.7,,1,1
3,Scheduled one or more telemedicine appointments,Education,Bachelor's degree or above,769,Total,100,,,,
3,Scheduled one or more telemedicine appointments,Education,Bachelor's degree or above,,Yes,18.1,1.7,,1,1
3,Scheduled one or more telemedicine appointments,Education,Bachelor's degree or above,,No,15.9,1.5,,0,1
3,Scheduled one or more telemedicine appointments,Education,Bachelor's degree or above,,No telemedicine available,66,2,,1,1
3,Scheduled one or more telemedicine appointments,Urbanization,Metropolitan,2232,Total,100,,,,
3,Scheduled one or more telemedicine appointments,Urbanization,Metropolitan,,Yes,17.9,1.2,,1,1
3,Scheduled one or more telemedicine appointments,Urbanization,Metropolitan,,No,16.6,1.3,,0,0
3,Scheduled one or more telemedicine appointments,Urbanization,Metropolitan,,No telemedicine available,65.6,1.3,,1,1
3,Scheduled one or more telemedicine appointments,Urbanization,Non-Metropolitan,419,Total,100,,,,
3,Scheduled one or more telemedicine appointments,Urbanization,Non-Metropolitan,,Yes,14.4,2.7,,1,0
3,Scheduled one or more telemedicine appointments,Urbanization,Non-Metropolitan,,No,9.3,1.6,,1,1
3,Scheduled one or more telemedicine appointments,Urbanization,Non-Metropolitan,,No telemedicine available,76.3,3,,1,1
3,Scheduled one or more telemedicine appointments,Chronic conditions,One or more chronic conditions,1663,Total,100,,,,
3,Scheduled one or more telemedicine appointments,Chronic conditions,One or more chronic conditions,,Yes,22.3,1.4,,1,1
3,Scheduled one or more telemedicine appointments,Chronic conditions,One or more chronic conditions,,No,17.5,1.6,,0,0
3,Scheduled one or more telemedicine appointments,Chronic conditions,One or more chronic conditions,,No telemedicine available,60.2,1.6,,1,1
3,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed diabetes,370,Total,100,,,,
3,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed diabetes,,Yes,25,3,,1,1
3,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed diabetes,,No,20.6,3.2,,0,0
3,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed diabetes,,No telemedicine available,54.4,3.1,,1,1
3,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed hypertension,1020,Total,100,,,,
3,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed hypertension,,Yes,23.3,1.9,,1,1
3,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed hypertension,,No,17.5,1.9,,0,0
3,Scheduled one or more telemedicine appointments,Chronic conditions,Diagnosed hypertension,,No telemedicine available,59.2,2.2,,1,1
3,Scheduled one or more telemedicine appointments,Chronic conditions,Current asthma,253,Total,100,,,,
3,Scheduled one or more telemedicine appointments,Chronic conditions,Current asthma,,Yes,26.3,4.4,,1,0
3,Scheduled one or more telemedicine appointments,Chronic conditions,Current asthma,,No,,,*,,
3,Scheduled one or more telemedicine appointments,Chronic conditions,Current asthma,,No telemedicine available,60.6,5.6,,1,0
1,Provider offered telemedicine prior to pandemic,Total,Total,6776,Total,100,,,,
1,Provider offered telemedicine prior to pandemic,Total,Total,,Yes,14.1,0.5,,,
1,Provider offered telemedicine prior to pandemic,Total,Total,,No,61.7,0.6,,,
1,Provider offered telemedicine prior to pandemic,Total,Total,,Do not know,12.9,0.5,,,
1,Provider offered telemedicine prior to pandemic,Total,Total,,No usual place of care,11.3,0.7,,,
1,Provider offered telemedicine prior to pandemic,Age group,18-44 years,2602,Total,100,,,,
1,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,Yes,13.7,1,,,
1,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,No,55.6,1.2,,,
1,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,Do not know,13.7,0.7,,,
1,Provider offered telemedicine prior to pandemic,Age group,18-44 years,,No usual place of care,16.9,1.1,,,
1,Provider offered telemedicine prior to pandemic,Age group,45-64 years,2373,Total,100,,,,
1,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,Yes,13.9,0.8,,,
1,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,No,65.9,1.1,,,
1,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,Do not know,12.6,0.8,,,
1,Provider offered telemedicine prior to pandemic,Age group,45-64 years,,No usual place of care,7.6,0.7,,,
1,Provider offered telemedicine prior to pandemic,Age group,65 years and over,1801,Total,100,,,,
1,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,Yes,15.3,1.1,,,
1,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,No,68.3,1.3,,,
1,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,Do not know,11.8,1,,,
1,Provider offered telemedicine prior to pandemic,Age group,65 years and over,,No usual place of care,4.6,0.8,,,
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,4502,Total,100,,,,
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,Yes,13,0.5,,,
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,No,63.9,0.7,,,
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,Do not know,13.9,0.6,,,
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,White non-Hispanic,,No usual place of care,9.1,0.7,,,
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,809,Total,100,,,,
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,Yes,18,1.3,,,
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,No,60.7,2.4,,,
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,Do not know,8.3,1.2,,,
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Black non-Hispanic,,No usual place of care,13,2.2,,,
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,527,Total,100,,,,
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,Yes,17.7,2.6,,,
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,No,56.4,3.6,,,
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,Do not know,13.7,3.3,,,
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Other non-Hispanic,,No usual place of care,12.2,2.4,,,
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,938,Total,100,,,,
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,Yes,13.9,1.7,,,
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,No,56,3,,,
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,Do not know,12.1,1.4,,,
1,Provider offered telemedicine prior to pandemic,Race/Hispanic origin,Hispanic,,No usual place of care,17.9,2.6,,,
1,Provider offered telemedicine prior to pandemic,Sex,Male,2962,Total,100,,,,
1,Provider offered telemedicine prior to pandemic,Sex,Male,,Yes,13.9,0.7,,,
1,Provider offered telemedicine prior to pandemic,Sex,Male,,No,60.4,0.9,,,
1,Provider offered telemedicine prior to pandemic,Sex,Male,,Do not know,12.8,0.6,,,
1,Provider offered telemedicine prior to pandemic,Sex,Male,,No usual place of care,12.9,1,,,
1,Provider offered telemedicine prior to pandemic,Sex,Female,3814,Total,100,,,,
1,Provider offered telemedicine prior to pandemic,Sex,Female,,Yes,14.4,0.7,,,
1,Provider offered telemedicine prior to pandemic,Sex,Female,,No,62.9,1.1,,,
1,Provider offered telemedicine prior to pandemic,Sex,Female,,Do not know,13,0.7,,,
1,Provider offered telemedicine prior to pandemic,Sex,Female,,No usual place of care,9.8,1,,,
1,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,1292,Total,100,,,,
1,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,Yes,13.2,1,,,
1,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,No,61.8,1.4,,,
1,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,Do not know,10.8,1.1,,,
1,Provider offered telemedicine prior to pandemic,Education,High school graduate or less,,No usual place of care,14.2,1.6,,,
1,Provider offered telemedicine prior to pandemic,Education,Some college,2546,Total,100,,,,
1,Provider offered telemedicine prior to pandemic,Education,Some college,,Yes,13.8,1,,,
1,Provider offered telemedicine prior to pandemic,Education,Some college,,No,62.4,1.3,,,
1,Provider offered telemedicine prior to pandemic,Education,Some college,,Do not know,13.5,0.8,,,
1,Provider offered telemedicine prior to pandemic,Education,Some college,,No usual place of care,10.3,0.7,,,
1,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,2938,Total,100,,,,
1,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,Yes,15.5,0.7,,,
1,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,No,60.8,0.9,,,
1,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,Do not know,14.7,0.8,,,
1,Provider offered telemedicine prior to pandemic,Education,Bachelor's degree or above,,No usual place of care,9,0.6,,,
1,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,6040,Total,100,,,,
1,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,Yes,14.5,0.5,,,
1,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,No,60.7,0.6,,,
1,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,Do not know,13,0.5,,,
1,Provider offered telemedicine prior to pandemic,Urbanization,Metropolitan,,No usual place of care,11.8,0.7,,,
1,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,736,Total,100,,,,
1,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,Yes,11.6,1.4,,,
1,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,No,69.2,2.7,,,
1,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,Do not know,11.9,1.6,,,
1,Provider offered telemedicine prior to pandemic,Urbanization,Non-Metropolitan,,No usual place of care,7.2,1.7,,,
1,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,4076,Total,100,,,,
1,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,Yes,15.6,0.6,,,
1,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,No,66,0.9,,,
1,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,Do not know,11.3,0.7,,,
1,Provider offered telemedicine prior to pandemic,Chronic conditions,One or more chronic conditions,,No usual place of care,7.1,0.6,,,
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,765,Total,100,,,,
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,Yes,17.8,1.9,,,
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,No,68.1,2.3,,,
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,Do not know,7.9,1.1,,,
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed diabetes,,No usual place of care,6.2,1.4,,,
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,2419,Total,100,,,,
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,Yes,15.1,1,,,
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,No,68.2,1.3,,,
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,Do not know,10.8,1.1,,,
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Diagnosed hypertension,,No usual place of care,5.9,0.7,,,
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,698,Total,100,,,,
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,Yes,18.3,2,,,
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,No,64.3,1.8,,,
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,Do not know,9.1,1.4,,,
1,Provider offered telemedicine prior to pandemic,Chronic conditions,Current asthma,,No usual place of care,8.2,1.6,,,
2,Provider offered telemedicine prior to pandemic,Total,Total,5959,Total,100,,,,
